NO,시장명,소재지도로명주소,위도,경도,시/도,시/군/구
1075,새마을시장,서울특별시 송파구 잠실동 207-4,37.5091122,127.0848813,서울특별시 ,송파구
1076,영동전통시장(영동전통시장),서울특별시 강남구 논현동 161-5 3층,37.5091611,127.0245722,서울특별시 ,강남구
1077,방이시장,서울특별시 송파구 방이동 124-20,37.5099666,127.1178332,서울특별시 ,송파구
1078,도마큰시장,서울특별시 영등포구 도림동 176,37.5099706,126.8983533,서울특별시 ,영등포구
1079,천안역전시장,충청남도 천안시 동남구 대흥동 60-5,36.8098578,127.1489176,충청남도 ,천안시
1080,괴산전통시장,충청북도 괴산군 괴산읍 읍내로 15길 8-8,36.8112035,127.7949716,충청북도 ,괴산군
1081,신원시장,경상북도 영주시 선비로 79번길 5,36.8121997,128.6230023,경상북도 ,영주시
1082,항동시장,전라남도 목포시 수강로 12번길 20,34.7871176,126.3868999,전라남도 ,목포시
1083,목포종합수산시장,전라남도 목포시 동명동,34.7902026,126.3938871,전라남도 ,목포시
1084,신중앙시장,전라남도 목포시 신정동 1732,34.7907738,126.3852882,전라남도 ,목포시
1085,청호시장,전라남도 목포시 석현로 28번길,34.7907738,126.3852882,전라남도 ,목포시
1086,자유시장,전라남도 목포시 자유로 122,34.7928999,126.4029584,전라남도 ,목포시
1087,영암읍5일시장,전라남도 영암군 영암읍 오일시장길 28,34.8013676,126.7009704,전라남도 ,영암군
1088,동부시장,전라남도 목포시 영산로 257번길 15,34.8044226,126.3931851,전라남도 ,목포시
1089,남해전통시장,경상남도 남해군 남해읍 화전로 110,34.8400955,127.8943516,경상남도 ,남해군
1090,중앙전통시장,경상남도 통영시 중앙동 139-71,34.8441756,128.4227846,경상남도 ,통영시
1091,벌교5일시장,전라남도 보성군 벌교읍 시장1길 10,34.8447514,127.3449892,전라남도 ,보성군
1092,벌교매일시장,전라남도 보성군 벌교읍 시장2길 10-1,34.8448058,127.3367223,전라남도 ,보성군
1093,일로전통시장,전라남도 무안군 일로읍 시장길 1,34.8483024,126.4951649,전라남도 ,무안군
1094,화서시장,경기도 수원시 팔달구 동말로 72,37.0798277,127.0523585,경기도 ,수원시
1095,신부시장,경상남도 거제시 장승포동 283-38,34.8674022,128.7299639,경상남도 ,거제시
1096,시종시장,전라남도 영암군 시종면 내동중앙로 26-23,34.8680422,126.6086553,전라남도 ,영암군
1097,대림중앙시장,서울특별시 영등포구 디지털로 49길 13-1,37.4908141,126.8992789,서울특별시 ,영등포구
1098,부천상동시장,경기도 부천시 원미구 장말로 200번길 48,37.4908754,126.7634014,경기도 ,부천시
1099,개봉중앙시장,서울특별시 구로구 개봉로17길 34(개봉동),37.4916439,126.8538988,서울특별시 ,구로구
1100,원미부흥시장,경기도 부천시 원미구 조종로 48,37.4926561,126.7900481,경기도 ,부천시
1101,가리봉시장,서울특별시 구로구 우마3길 15,37.4816811,126.8890719,서울특별시 ,구로구
1102,청과물시장,경기도 부천시 소사구 심곡로 15번길 42,37.4818909,126.7788812,경기도 ,부천시
1103,북평민속시장,강원도 동해시 북평 오일장길 32,37.4825023,129.1260104,강원도 ,동해시
1104,역곡남부시장,경기도 부천시 소사구 경인로 498번길 26,37.4827612,126.8112044,경기도 ,부천시
